Time,Tags,Meet,Date
46.75,R,NCAA Division I Mens Championships,"Mar 29, 2024"
46.99,,Bulldog NCAA Qualifying Meet,"Mar 03, 2024"
46.72,,Bulldog NCAA Qualifying Meet,"Mar 02, 2024"
46.64,R,Atlantic Coast Championships,"Feb 23, 2024"
46.25,US OPEN,Atlantic Coast Championships,"Feb 23, 2024"
47,,Atlantic Coast Championships,"Feb 23, 2024"
48.27,,Duke vs UNC,"Jan 26, 2024"
47.9,,"Virginia vs. NC State, North Carolina","Jan 20, 2024"
47.7,R,"Virginia vs. NC State, North Carolina","Jan 19, 2024"
47.79,,"UNC vs. UNC-Asheville, SMU","Jan 08, 2024"
47.21,,North Carolina @ South Carolina,"Nov 03, 2023"
48.55,,UNC-Wilmington vs. North Carolina,"Oct 20, 2023"
48.18,R,Queens v UNC,"Sep 29, 2023"
48.72,,UNC Last Chance Meet,"Feb 24, 2023"
46.77,R,Atlantic Coast Championships,"Feb 17, 2023"
46.61,US OPEN,Atlantic Coast Championships,"Feb 17, 2023"
47.06,,Atlantic Coast Championships,"Feb 17, 2023"
47.2,,North Carolina vs. Duke,"Jan 27, 2023"
46.92,,Tennessee Invitational,"Nov 18, 2022"
47.54,,Tennessee Invitational,"Nov 18, 2022"
46.9,R,Tennessee Invitational,"Nov 17, 2022"
47.98,R,North Carolina vs. South Carolina,"Nov 05, 2022"
48.3,,North Carolina vs. South Carolina,"Nov 05, 2022"
48.2,,UNC-Wilmington vs. North Carolina,"Oct 21, 2022"
48.97,,Queens (NC) vs North Carolina,"Sep 30, 2022"
49.01,,Tar Heel Last Chance Meet,"Feb 25, 2022"
49.54,,Tar Heel Last Chance Meet,"Feb 25, 2022"
47.89,,Atlantic Coast Championships,"Feb 18, 2022"
47.83,,Duke vs. North Carolina,"Jan 28, 2022"
50.97,R,Virginia vs. North Carolina,"Jan 21, 2022"
49.35,,Virginia vs. North Carolina,"Jan 21, 2022"
48.71,,NC State/GAC Invitational,"Nov 19, 2021"
48.58,,NC State/GAC Invitational,"Nov 19, 2021"
48.41,R,NC State/GAC Invitational,"Nov 18, 2021"
49.36,R,North Carolina vs. Georgia Tech,"Nov 05, 2021"
49.7,,North Carolina vs. Georgia Tech,"Nov 05, 2021"
50.42,,Georgia vs. North Carolina,"Oct 22, 2021"
50.23,,North Carolina vs. NC State,"Oct 13, 2021"
48.43,YMCA,VA CAV Cavalier Aquatics LY Duel Meet,"Dec 06, 2020"
50.28,,VA CAV Cavalier Aquatics LY Duel Meet,"Dec 05, 2020"
48.91,,VA CAV Cavalier Aquatics Intra Squad Meet,"Aug 29, 2020"
48.15,,Virginia Swimming Senior Championships,"Mar 07, 2020"
48.97,,Virginia Swimming Senior Championships,"Mar 07, 2020"
48.15,,Virginia Swimming Age Group Championships,"Mar 07, 2020"
48.97,,Virginia Swimming Age Group Championships,"Mar 07, 2020"
48.63,,2020 Virginia Class 5 State Championship (c),"Feb 21, 2020"
50.19,,2020 Virginia Class 5 State Championship (c),"Feb 21, 2020"
50.89,,2020 Timesland Invitational (c),"Jan 11, 2020"
56.77,,2020 Timesland Invitational (c),"Jan 11, 2020"
49,,AM TPIT 58th Annual Christmas Invitational,"Dec 14, 2019"
50.8,,AM TPIT 58th Annual Christmas Invitational,"Dec 14, 2019"
50.82,,NC MOR Atlantic Quad Meet,"Nov 16, 2019"
52.54,,VA CYAC Fall Invite,"Nov 03, 2019"
