Time,Tags,Meet,Date
19.62,US OPEN    R,NCAA Division I Mens Championships,"Mar 28, 2024"
19.99,,Bulldog NCAA Qualifying Meet,"Mar 02, 2024"
19.74,R,Atlantic Coast Championships,"Feb 21, 2024"
19.96,,Atlantic Coast Championships,"Feb 21, 2024"
19.85,,Atlantic Coast Championships,"Feb 21, 2024"
20.45,R,"Virginia vs. NC State, North Carolina","Jan 19, 2024"
20.19,,"Virginia vs. NC State, North Carolina","Jan 19, 2024"
21.04,,"UNC vs. UNC-Asheville, SMU","Jan 08, 2024"
20.43,,North Carolina @ South Carolina,"Nov 03, 2023"
20.51,R,UNC-Wilmington vs. North Carolina,"Oct 20, 2023"
21.34,,UNC-Wilmington vs. North Carolina,"Oct 20, 2023"
20.65,R,Queens v UNC,"Sep 29, 2023"
20.83,,Queens v UNC,"Sep 29, 2023"
20.25,,UNC Last Chance Meet,"Feb 24, 2023"
19.79,R,Atlantic Coast Championships,"Feb 15, 2023"
20.05,,Atlantic Coast Championships,"Feb 15, 2023"
20.31,R,North Carolina vs. Duke,"Jan 27, 2023"
20.84,,North Carolina vs. Duke,"Jan 27, 2023"
19.65,B    R,Tennessee Invitational,"Nov 17, 2022"
19.68,,Tennessee Invitational,"Nov 17, 2022"
20.04,,Tennessee Invitational,"Nov 17, 2022"
21.03,,UNC-Wilmington vs. North Carolina,"Oct 21, 2022"
20.99,,Queens (NC) vs North Carolina,"Sep 30, 2022"
20.29,,Tar Heel Last Chance Meet,"Feb 26, 2022"
20.42,,Tar Heel Last Chance Meet,"Feb 26, 2022"
19.97,,Atlantic Coast Championships,"Feb 16, 2022"
21.32,,Virginia vs. North Carolina,"Jan 21, 2022"
20.37,R,NC State/GAC Invitational,"Nov 18, 2021"
20.31,,NC State/GAC Invitational,"Nov 18, 2021"
20.32,,NC State/GAC Invitational,"Nov 18, 2021"
21.33,,North Carolina vs. Georgia Tech,"Nov 05, 2021"
21.17,,Georgia vs. North Carolina,"Oct 22, 2021"
21.04,R,North Carolina vs. NC State,"Oct 13, 2021"
20.17,YMCA,VA CAV Cavalier Aquatics LY Duel Meet,"Dec 06, 2020"
22.37,X,VA CAV Cavalier Aquatics Intra-squad meet,"Oct 11, 2020"
20.99,,VA CAV Cavalier Aquatics Intra-squad meet,"Oct 11, 2020"
20.35,,VA CAV Cavalier Aquatics Intra Squad Meet,"Aug 29, 2020"
20.31,,Virginia Swimming Senior Championships,"Mar 07, 2020"
20.51,,Virginia Swimming Senior Championships,"Mar 07, 2020"
20.31,,Virginia Swimming Age Group Championships,"Mar 07, 2020"
20.51,,Virginia Swimming Age Group Championships,"Mar 07, 2020"
20.51,,2020 Virginia Class 5 State Championship (c),"Feb 21, 2020"
20.66,,2020 Virginia Class 5 State Championship (c),"Feb 21, 2020"
21.43,,2020 Virginia Region 5D Championship (c),"Feb 10, 2020"
21.62,R,2020 Timesland Invitational (c),"Jan 11, 2020"
20.57,,2020 Ben Hair Invitational (c),"Jan 07, 2020"
21.19,R,2020 Bruins Invitational,"Jan 04, 2020"
21.78,X,2020 Bruins Invitational,"Jan 04, 2020"
20.92,,AM TPIT 58th Annual Christmas Invitational,"Dec 14, 2019"
21.46,,AM TPIT 58th Annual Christmas Invitational,"Dec 14, 2019"
21.94,,2019 SW Virginia High School Invitational (c),"Dec 07, 2019"
21.47,,NC MOR Atlantic Quad Meet,"Nov 16, 2019"
23.44,X,VA CYAC Fall Invite,"Nov 03, 2019"
21.21,,Speedo Champions Series - Christiansburg,"Mar 30, 2019"
21.25,,Virginia Swimming Senior Championships,"Mar 02, 2019"
21.49,,Virginia Swimming Senior Championships,"Mar 02, 2019"
21.27,,2019 Virginia 5D Region Championship (c),"Feb 02, 2019"
21.98,R,2019 Timesland Invitational (c),"Jan 19, 2019"
21.57,,2019 Ben Hair Invitational (c),"Jan 08, 2019"
22.09,,AM TPIT 57th Annual Christmas Invitational,"Dec 15, 2018"
21.77,,AM TPIT 57th Annual Christmas Invitational,"Dec 15, 2018"
22.32,,NC TAC Strategic Systems Big Southern Classic,"Nov 10, 2018"
21.61,,NC TAC Strategic Systems Big Southern Classic,"Nov 10, 2018"
24.02,X,VA GATR Gator Fall Classic,"Oct 14, 2018"
22.28,,ISCA/NASA TYR Elite Showcase,"Mar 28, 2018"
22.54,,ISCA/NASA TYR Elite Showcase,"Mar 28, 2018"
21.77,,Virginia Swimming Age Group Championships,"Mar 10, 2018"
22.16,,Virginia Swimming Age Group Championships,"Mar 10, 2018"
23.29,X,2018 Virginia High School 5A State Championship (c),"Feb 16, 2018"
23.51,X,2018 Virginia 5A Region D Championship (c),"Feb 07, 2018"
23.56,X   R,2018 Timesland Invitational (c),"Jan 20, 2018"
23.76,X   R,2018 Ben Hair Invitational (c),"Jan 09, 2018"
22.42,,AM TPIT 56th Annual Christmas Invitational,"Dec 16, 2017"
22.62,,AM TPIT 56th Annual Christmas Invitational,"Dec 16, 2017"
22.97,,NC TAC Strategic Systems Big Southern Classic,"Nov 11, 2017"
23.4,,NC TAC Strategic Systems Big Southern Classic,"Nov 11, 2017"
24.07,R,Dolfin Elite Showcase Cla,"Apr 07, 2017"
24.37,,Dolfin Elite Showcase Cla,"Apr 05, 2017"
23.93,,2017 VSI SC Age Group Champs,"Mar 11, 2017"
24.21,X,VA Blue Ridge Region 13 & Over Championship,"Feb 26, 2017"
24.79,,VA PSDN Jumpin' January Poseidon BB+ M,"Jan 16, 2017"
24.53,,AM TPIT 55th Annual Christmas Invitational,"Dec 17, 2016"
25.67,,2016 October Pumpkin Plunge,"Oct 16, 2016"
26.64,X,2016 October Pumpkin Plunge,"Oct 15, 2016"
29.52,X,2015 BASS Odd Age Last Chance,"Mar 21, 2015"
28.28,,2015 BASS Odd Age Last Chance,"Mar 21, 2015"
28.72,,VA HOKI Blue Ridge Region-District,"Feb 28, 2015"
28.43,,VA HOKI Blue Ridge Region-District,"Feb 28, 2015"
29.62,,Jumpin' January Poseidon BB+ M,"Jan 17, 2015"
29.5,,VA VAST GATR Odd Age Meet,"Jan 04, 2015"
32.1,X,Bass Turkey Classic,"Nov 23, 2014"
31.11,,Bass Turkey Classic,"Nov 22, 2014"
30.66,,November Autumn Splash,"Nov 08, 2014"
31.66,,GATR Fall Kick Off Classic A/B,"Oct 19, 2014"
33,X,GATR Fall Kick Off Classic A/B,"Oct 18, 2014"
