Time,Tags,Meet,Date
4:11.74,,NCAA Division I Mens Championship,"Mar 24, 2022"
4:11.77,,NCAA Division I Mens Championship,"Mar 24, 2022"
4:15.21,B,Georgia Tech Invitational,"Nov 18, 2021"
4:18.31,,Georgia Tech Invitational,"Nov 18, 2021"
4:11.11,,NCAA Division I Men's Championships,"Mar 25, 2021"
4:12.37,,NCAA Division I Men's Championships,"Mar 25, 2021"
4:13.48,D1-B,Southeastern Conference Men's Championships,"Feb 24, 2021"
4:15.22,,Southeastern Conference Men's Championships,"Feb 24, 2021"
4:29.18,,Florida vs. Auburn,"Jan 23, 2021"
4:15.06,,Auburn vs. Florida,"Nov 18, 2020"
4:18.37,,Auburn vs. Florida,"Nov 18, 2020"
4:10.86,A,SEC Championship,"Feb 19, 2020"
4:13.74,,SEC Championship,"Feb 19, 2020"
4:28.94,,Florida vs. Georgia,"Nov 01, 2019"
4:26.25,,Missouri vs. Florida,"Oct 18, 2019"
4:28.23,,Minnesota vs. Florida,"Oct 11, 2019"
4:20.14,,NCAA Division I Mens Championships,"Mar 28, 2019"
4:14.86,B,Southeastern Conference Championships,"Feb 20, 2019"
4:17.25,,Southeastern Conference Championships,"Feb 20, 2019"
4:28.05,,Florida vs. Tennessee,"Feb 02, 2019"
4:31.74,,Auburn vs. Florida,"Jan 26, 2019"
4:24.80,,"Florida vs. Kentucky, Ohio State","Jan 04, 2019"
4:20.73,,Georgia Tech Invitational,"Nov 15, 2018"
4:21.39,,Georgia Tech Invitational,"Nov 15, 2018"
4:30.42,,Florida State vs. Florida,"Nov 02, 2018"
4:31.15,,Texas vs. Florida vs. Indiana,"Oct 20, 2018"
4:30.95,,Louisiana State vs. Florida,"Oct 12, 2018"
4:17.79,,Florida Swimming Senior SCY Championships,"Feb 24, 2018"
4:27.29,,Florida Swimming Senior SCY Championships,"Feb 24, 2018"
4:19.30,,FL GSC Holiday Classic,"Dec 02, 2017"
4:31.07,,FL GSC Holiday Classic,"Dec 02, 2017"
4:18.74,,FHSAA 4A State Championship,"Nov 10, 2017"
4:25.16,,FHSAA 4A State Championship,"Nov 10, 2017"
4:33.89,,FHSAA 4A Region 2,"Nov 04, 2017"
4:28.63,,FHSAA 4A District 6,"Oct 28, 2017"
4:20.86,,Florida Swimming Senior SCY Championships,"Feb 25, 2017"
4:27.17,,Florida Swimming Senior SCY Championships,"Feb 25, 2017"
4:26.48,,FL CAT Al Soltis Memorial Meet,"Jan 14, 2017"
4:22.82,,FL YCF Winter Invite,"Dec 10, 2016"
4:27.65,,FL YCF Winter Invite,"Dec 10, 2016"
4:24.88,,Big Ten vs. USA College Challenge,"Nov 12, 2016"
4:22.92,,2016 Florida 4A State Championships,"Nov 05, 2016"
4:26.16,,2016 Florida 4A State Championships,"Nov 05, 2016"
4:29.52,,2016 Florida Class 4A - Region 2 Championships,"Oct 29, 2016"
4:35.63,,2016 Florida Class 4A - District 6 Championships,"Oct 22, 2016"
4:21.93,U,2016 PCAC Championship,"Sep 24, 2016"
4:21.93,,Pinellas County Aquatics Conference Champs,"Sep 24, 2016"
4:35.33,,Pinellas County Aquatics Conference Champs,"Sep 24, 2016"
4:22.62,U,2016 SPA TOTAL TEAM WARES MEET,"Sep 16, 2016"
4:24.06,U,2016 FL Area 3 Championships,"Mar 19, 2016"
4:27.39,,Florida Senior Championships (SCY),"Feb 27, 2016"
4:30.44,,Florida Senior Championships (SCY),"Feb 27, 2016"
4:24.41,,FL GSC Holiday Classic,"Dec 05, 2015"
4:29.63,,FL GSC Holiday Classic,"Dec 05, 2015"
4:30.31,,2015 Pinellas County Aquatic Conference,"Sep 25, 2015"
4:42.05,,2015 Pinellas County Aquatic Conference,"Sep 25, 2015"
4:28.71,,Florida Senior Championships,"Feb 28, 2015"
4:29.47,,Florida Senior Championships,"Feb 28, 2015"
4:36.63,,FL GSC Holiday Classic,"Dec 06, 2014"
4:44.22,,2014-15 Florida State Championships - 4A,"Nov 07, 2014"
4:36.99,,2014-15 Florida State Championships - 4A,"Nov 07, 2014"
4:32.88,,2014-15 Florida Class 3A - District Championships (All Regions),"Nov 01, 2014"
4:37.99,,2014 FL Pinellas County Aquatic Conference (PCAC),"Sep 20, 2014"
4:41.02,,2014 FL Pinellas County Aquatic Conference (PCAC),"Sep 20, 2014"
4:42.17,,NCSA Junior National Championships - Boys,"Mar 19, 2014"
4:48.23,,2013 Fall Total Team Wares Meet,"Sep 20, 2013"
4:56.53,,2013 FL SC Age Group Championships,"Mar 09, 2013"
4:54.87,,2013 FL SC Age Group Championships,"Mar 09, 2013"
5:46.82,,2009 WFLA Halloween Invitational,"Oct 16, 2009"
5:44.78,,2009 TOTAL TEAM WARE Invitational,"Sep 19, 2009"
5:53.74,,2009 Spring JO Champs,"Feb 19, 2009"
6:01.81,,2009 Al Soltis Memorial,"Jan 16, 2009"
6:16.34,,2008 WFLA Halloween Invitational,"Oct 17, 2008"
6:06.55,,2008 FL TOTAL TEAM WARES FALL INVITATI,"Sep 19, 2008"
