Time,Tags,Meet,Date
4:16.83,,Atlantic Coast Championships,"Feb 22, 2024"
4:19.16,,Atlantic Coast Championships,"Feb 22, 2024"
4:18.84,,"Virginia vs. NC State, North Carolina","Jan 19, 2024"
4:15.72,B,Princeton Big Al Invitational,"Dec 02, 2023"
4:17.04,,Princeton Big Al Invitational,"Dec 02, 2023"
4:17.95,,North Carolina @ South Carolina,"Nov 03, 2023"
4:22.30,,Atlantic Coast Championships,"Feb 16, 2023"
4:20.46,,"NC State vs. North Carolina, Virginia","Jan 20, 2023"
4:14.79,B,Tennessee Invitational,"Nov 18, 2022"
4:18.97,,Tennessee Invitational,"Nov 18, 2022"
4:26.48,,North Carolina vs. South Carolina,"Nov 05, 2022"
4:23.44,,Speedo Winter Junior Championship East,"Dec 10, 2021"
4:15.82,,FL CAT Florida Virtual Championship - Clearwater,"Dec 04, 2020"
4:20.51,,FL CAT Florida Virtual Championship - Clearwater,"Dec 04, 2020"
4:26.34,,FL YCF Invitational,"Nov 22, 2019"
4:23.69,,FL Swimming vs. FGC All-Star,"Mar 30, 2019"
4:15.85,,Florida Swimming Age Group Short Course Championships,"Feb 22, 2019"
4:17.11,,Florida Swimming Age Group Short Course Championships,"Feb 22, 2019"
4:27.33,,FL ATAC Mac Crutchfield Invitational,"Jan 25, 2019"
4:18.84,,FL TPA Adidas Team Challenge,"Jan 12, 2019"
4:27.79,,FL TPA Adidas Team Challenge,"Jan 12, 2019"
4:21.49,,Speedo Winter Junior Championships - East,"Dec 07, 2018"
4:25.88,,FL Swimming vs FGC All-Star Dual Meet,"Mar 24, 2018"
4:20.69,,FG GRSC Winter Invitational,"Feb 16, 2018"
4:20.74,,FG GRSC Winter Invitational,"Feb 16, 2018"
4:33.68,,FL GSC Holiday Classic,"Dec 01, 2017"
4:37.66,,FL GSC Holiday Classic,"Dec 01, 2017"
4:36.45,,FL WFLA Halloween Invitational,"Oct 13, 2017"
4:44.77,,Florida Swimming Area 3 Summer Championship,"Jul 28, 2017"
4:56.99,,FL YCF Winter Invite,"Dec 11, 2016"
