Time,Tags,Meet,Date
15.25,R,Conference Carolinas Championship,"Feb 21, 2024"
26.46,R,Wingate vs. Barton,"Jan 27, 2024"
26.33,R,Virginia Wesleyan vs. Barton,"Jan 12, 2024"
25.98,R,Pacer Invitational,"Nov 17, 2023"
26.2,R,UNC Pembroke vs. Barton vs. Roanoke,"Nov 11, 2023"
26.47,C,Chowan vs. Barton,"Oct 07, 2023"
27.69,X,Pirate Duels,"Sep 30, 2023"
26.48,,20203 Oklahoma LSC Senior Championships,"Mar 04, 2023"
26.43,,20203 Oklahoma LSC Senior Championships,"Mar 04, 2023"
26.56,R,20203 Oklahoma LSC Senior Championships,"Mar 03, 2023"
26.65,X,OSSAA 6A State Championships,"Feb 16, 2023"
26.63,X,OSSAA 6A State Championships,"Feb 16, 2023"
27,X,2023 West 6A Regionals,"Feb 03, 2023"
27.08,,NT KMSC King Marlin Pro-Am Classic,"Dec 16, 2022"
26.89,,2022 OK BAC Bison Aquatic Club,"Nov 20, 2022"
27.59,X,2022 NT “ATAC YOUR TIMES” Open Invitational Meet,"Nov 06, 2022"
28.61,X,OK JTSC Fall Invitational,"Oct 01, 2022"
27.9,,2022 ST SASA LAST CHANCE MEET,"Jun 25, 2022"
27.91,R,2022 Oklahoma Senior State Championships,"Mar 06, 2022"
27.29,R,2022 Oklahoma Senior State Championships,"Mar 04, 2022"
27.91,X,OSSAA 6A State Championships,"Feb 18, 2022"
27.93,X,OSSAA 6A State Championships,"Feb 18, 2022"
28.09,X,6A West Regionals,"Feb 08, 2022"
29.52,X,Yukon Invitational,"Dec 11, 2021"
27.96,,2021 OK BAC Bison Aquatic Club Turkey Meet,"Nov 21, 2021"
27.61,R,OK AESC Halloween Meet,"Oct 24, 2021"
28.4,X,OK AESC Halloween Meet,"Oct 23, 2021"
28.87,U,OK BAC Dalton Sawyer,"Nov 21, 2020"
28.87,,OK BAC Bison Aquatic Club Turkey,"Nov 22, 2020"
29.91,X,OK BAC Bison Aquatic Club Turkey,"Nov 21, 2020"
30.17,X,OK AESC Halloween Meet,"Oct 24, 2020"
30.34,X,OK AESC Winter Ice Breaker,"Jan 26, 2020"
30.77,R,OK KMSC Winter Invitational,"Jan 12, 2020"
30.56,,2019 OK BAC Turkey Meet,"Nov 24, 2019"
32.44,X,OK JTSC Fall Invitational,"Oct 05, 2019"
